Periodo,Nombre del Alumno,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8,Subject 9,Subject 10,Subject 11,Subject 12
1,Student 1 1A,68,100,12,57,14,41,54,65,16,24,76,52
1,Student 2 1A,68,12,90,5,3,2,66,4,88,10,4,94
1,Student 3 1A,32,90,82,21,69,20,69,24,24,65,1,7
1,Student 4 1A,48,87,12,34,61,21,43,100,13,8,27,1
1,Student 5 1A,23,81,4,55,30,16,52,34,63,22,56,48
1,Student 6 1A,97,59,11,21,63,79,47,99,96,89,44,58
1,Student 7 1A,93,56,18,19,3,56,42,15,67,29,51,43
1,Student 8 1A,54,41,21,60,0,29,79,58,36,5,73,57
1,Student 9 1A,90,99,83,50,0,90,84,15,83,92,89,88
1,Student 10 1A,8,58,28,43,73,58,82,56,42,100,53,6
1,Student 11 1A,55,33,95,71,40,42,17,45,78,61,98,87
1,Student 12 1A,63,67,43,12,67,3,41,99,89,23,82,26
1,Student 13 1A,12,21,74,2,97,53,95,48,3,81,45,69
1,Student 14 1A,6,2,15,65,20,9,48,73,53,37,86,24
1,Student 15 1A,68,99,67,8,13,68,64,42,60,29,60,26
1,Student 16 1A,13,81,20,34,59,72,29,4,15,2,52,38
1,Student 17 1A,73,85,80,71,34,6,91,76,47,50,65,88
1,Student 18 1A,75,66,63,12,8,45,32,52,32,27,27,62
1,Student 19 1A,52,25,69,23,72,4,29,23,77,85,69,2
1,Student 20 1A,71,33,35,10,50,26,77,4,85,45,72,46
1,Student 21 1A,33,57,12,71,64,14,49,27,59,85,29,81
1,Student 22 1A,66,80,99,64,90,56,92,91,97,28,63,0
1,Student 23 1A,82,35,7,69,10,48,62,16,56,18,77,30
1,Student 24 1A,64,87,4,41,91,37,2,10,62,57,33,97
1,Student 25 1A,75,38,17,63,92,23,1,35,77,28,91,17
1,Student 26 1A,99,74,64,91,19,73,56,78,16,75,16,28
1,Student 27 1A,13,75,34,56,36,63,76,88,21,60,70,56
1,Student 28 1A,42,9,3,87,48,82,5,11,62,45,98,85
1,Student 29 1A,15,65,100,62,57,100,35,53,65,18,4,52
1,Student 30 1A,95,6,84,4,17,79,15,78,40,97,84,43
1,Student 31 1A,87,16,29,92,13,68,32,80,81,48,62,25
1,Student 32 1A,34,14,97,25,7,53,14,94,13,87,3,98
